father_id,mother_id,ebv
US00000000795,DE00000028635,1957.0500000000002
US00000000795,DE00000023145,1854.2
US00000000795,DE00000014083,1841.35
US00000000795,NL00000004886,1828.3000000000002
US00000000795,DE00000027440,1814.7
US00000000795,US00000069140,1812.25
US00000000795,GB00000083297,1796.9
US00000000795,GB00000024686,1787.4
US00000000795,GB00000017595,1786.6
US00000000795,GB00000009133,1746.9
US00000000795,US00000011575,1743.85
US00000000795,US00000033490,1739.85
US00000000795,NL00000028599,1737.8000000000002
US00000000795,US00000006228,1734.75
US00000000795,NL00000074190,1733.7
US00000000795,DE00000021659,1730.1
US00000000795,RU00000029036,1728.0
US00000000795,NL00000017666,1726.5
US00000000795,GB00000029511,1726.25
US00000000795,US00000014607,1718.35
US00000000795,DE00000026925,1718.0500000000002
US00000000795,NL00000009484,1716.9
US00000000795,DE00000022602,1716.7
US00000000795,NL00000020384,1716.1
US00000000795,RU00000008446,1712.5500000000002
US00000000795,DE00000015455,1709.85
US00000000795,US00000040481,1707.4
US00000000795,RU00000027070,1706.95
US00000000795,NL00000022777,1706.25
US00000000795,NL00000028674,1701.1
US00000000795,RU00000009150,1700.6
US00000000795,US00000025219,1698.2
US00000000795,FR00000026962,1696.2
US00000000795,GB00000028841,1692.65
US00000000795,NL00000046217,1691.7
US00000000795,NL00000018762,1690.8000000000002
US00000000795,US00000028678,1690.3000000000002
US00000000795,RU00000051688,1689.85
US00000000795,FR00000035718,1689.3000000000002
US00000000795,US00000050005,1685.45
US00000000795,DE00000024184,1685.25
US00000000795,RU00000047601,1684.95
US00000000795,US00000024767,1681.65
US00000000795,US00000050057,1672.45
US00000000795,DE00000031713,1671.65
US00000000795,RU00000028700,1671.5
US00000000795,FR00000014676,1670.0
US00000000795,FR00000050214,1669.5500000000002
US00000000795,GB00000035378,1668.3000000000002
US00000000795,GB00000041107,1668.2
US00000000795,NL00000009246,1667.3000000000002
US00000000795,US00000038504,1662.85
US00000000795,FR00000034307,1662.15
US00000000795,RU00000008482,1661.35
US00000000795,GB00000029364,1661.25
US00000000795,GB00000038519,1661.1
US00000000795,US00000016405,1658.7
US00000000795,DE00000039487,1658.7
US00000000795,GB00000038572,1658.35
US00000000795,RU00000015803,1657.35
US00000000795,US00000005054,1657.0
US00000000795,NL00000038599,1656.7
US00000000795,NL00000020820,1656.3000000000002
US00000000795,DE00000023012,1656.1
US00000000795,NL00000022608,1653.3000000000002
US00000000795,NL00000005196,1650.5500000000002
US00000000795,NL00000011502,1649.5
US00000000795,GB00000010033,1647.8000000000002
US00000000795,US00000008709,1646.9
US00000000795,RU00000014619,1644.7
US00000000795,US00000050014,1644.6
US00000000795,US00000024993,1644.5
US00000000795,US00000026948,1643.35
US00000000795,US00000046732,1643.1
US00000000795,FR00000048401,1642.15
US00000000795,NL00000050026,1640.9
US00000000795,GB00000041197,1640.5
US00000000795,RU00000039923,1639.5500000000002
US00000000795,US00000027014,1639.25
US00000000795,NL00000045022,1637.35
US00000000795,NL00000023885,1637.1
US00000000795,RU00000047147,1636.95
US00000000795,FR00000050059,1636.5500000000002
US00000000795,DE00000047382,1636.25
US00000000795,US00000016616,1635.3000000000002
US00000000795,FR00000044957,1634.95
US00000000795,NL00000066836,1634.5500000000002
US00000000795,US00000029084,1634.25
US00000000795,RU00000045644,1633.45
US00000000795,US00000004307,1633.4
US00000000795,GB00000015350,1632.7
US00000000795,DE00000005896,1632.7
US00000000795,FR00000030849,1632.15
US00000000795,NL00000015371,1630.7
US00000000795,US00000047436,1630.3000000000002
US00000000795,RU00000072918,1629.5
US00000000795,RU00000047362,1629.45
US00000000795,FR00000041548,1627.0
US00000000795,US00000011133,1626.5500000000002
US00000000795,US00000027976,1625.65
US00000000795,GB00000026941,1624.5
US00000000795,DE00000027145,1624.25
US00000000795,GB00000047990,1623.0500000000002
US00000000795,NL00000044501,1622.85
US00000000795,US00000047718,1622.1
US00000000795,GB00000041482,1621.2
US00000000795,RU00000026906,1621.1
US00000000795,RU00000050113,1620.7
US00000000795,NL00000029696,1620.6
US00000000795,FR00000019764,1620.0500000000002
US00000000795,US00000006938,1619.6
US00000000795,FR00000041882,1618.45
US00000000795,DE00000006374,1617.7
US00000000795,GB00000026964,1616.5500000000002
US00000000795,NL00000027101,1614.95
US00000000795,RU00000005610,1614.7
US00000000795,FR00000019999,1614.6
US00000000795,DE00000013249,1614.3000000000002
US00000000795,NL00000020977,1614.1
US00000000795,FR00000032554,1613.5500000000002
US00000000795,US00000049847,1613.35
US00000000795,NL00000037686,1613.1
US00000000795,DE00000022255,1612.6
US00000000795,US00000034558,1612.4
US00000000795,DE00000050007,1612.0500000000002
US00000000795,NL00000020495,1612.0
US00000000795,FR00000038493,1611.65
US00000000795,GB00000006059,1611.2
US00000000795,US00000050126,1611.2
US00000000795,NL00000022108,1610.75
US00000000795,NL00000038555,1610.75
US00000000795,US00000050090,1610.2
US00000000795,FR00000028873,1609.95
US00000000795,DE00000039053,1609.6
US00000000795,GB00000022520,1609.35
US00000000795,NL00000028304,1609.35
US00000000795,GB00000042407,1609.2
US00000000795,RU00000050169,1608.25
US00000000795,RU00000023171,1608.2
US00000000795,NL00000031925,1608.1
